District_Area(km2),Cholera Cases,District,Distance From Main Road,Estimated Number of Poor Persons,Female Population,ID,Male population,Pop Density per district,Pop Total,Region,Time To Access Urban Centre,Water Scarcity,Distance to water body,Gdppersqkm,Flood Frequency Rates,Men Literacy Levels,Women Literacy Levels,Water Coverage,perc poor persons,perc water coverage,perc men lit ,perc women lit
585.6586,239,Offinso Municipal,1508,30494,39827,618,37068,131.296629,76895,Ashanti,46,0.849730336,3076,586,0,0.835468688,0.749511236,0.783617123,40,76,84,75
220.6714,144,Obuasi Municipal,1068,8682,87626,605,81015,764.217746,168641,Ashanti,9,0.572480142,3419,221,0.000134084,0.888828833,0.775690724,0.986225206,5,95,89,78
122.9576,206,Kwabre,185,7016,60450,620,55106,939.80364,115556,Ashanti,10,0.799132568,6906,123,0,0.913340068,0.842825245,0.986647643,6,95,91,84
1340.1292,207,Ejura Sekye Dumase,4080,39451,42554,626,42892,63.759524,85446,Ashanti,98,1.130696056,2788,1341,0,0.812384713,0.701162696,0.905480547,46,87,81,70
579.1785,219,Atwima Nwabiagya,1085,19355,77077,615,71948,257.304095,149025,Ashanti,23,0.821193635,3544,579,0.002014242,0.882393273,0.787446545,0.964239181,13,93,88,79
1883.2143,217,Atwima Mponua,2098,15204,58090,601,61090,63.285416,119180,Ashanti,99,0.795762351,3294,1882,7.83E-07,0.757858814,0.450194438,0.82222249,13,79,76,45
1328.199,167,Adansi South,1879,24733,57339,604,58039,86.868007,115378,Ashanti,73,0.569100561,2944,1329,0,0.756866936,0.548438853,0.866740137,21,84,76,55
853.63,164,Adansi North,1467,19411,54036,606,53055,125.453651,107091,Ashanti,54,0.569578616,2588,854,0,0.799688108,0.538165653,0.891231868,18,86,80,54
568.7799,185,Bosome Freho,1607,22336,30644,608,29753,106.186945,60397,Ashanti,82,0.565400958,2616,569,4.67E-05,0.785016315,0.559924411,0.784775698,37,76,79,56
1190.7348,196,Ahafo Ano South,1753,16977,59914,616,61745,102.171365,121659,Ashanti,76,0.822126029,4281,1190,0,0.77742476,0.597488876,0.727273811,14,70,78,60
535.2486,181,Bekwai Municipal,1187,34380,62409,607,55615,220.503146,118024,Ashanti,27,0.729471906,5075,535,0,0.823121627,0.590777717,0.915113801,29,88,82,59
811.8688,86,Lambussie Karni,2865,36971,26702,1008,24952,63.623581,51654,Upper West,96,2.269459287,4530,811,1.80E-06,0.428503627,0.283471016,0.93323338,72,90,43,28
422.458,193,Bosomtwe /Atwima / Kwanwoma,899,5323,49117,612,44793,222.294287,93910,Ashanti,23,0.754407245,3704,423,1.177761485,0.858188273,0.731372935,0.89923082,6,87,86,73
670.1866,239,Mampong Municipal,2291,25417,45398,622,42653,131.382812,88051,Ashanti,95,0.885284759,2679,670,0,0.816197502,0.753125152,0.899674697,29,87,82,75
521.1648,161,Ajumako-Enyan-Esiam,844,15986,73628,205,64418,264.879746,138046,Central,33,1.608722799,3736,522,2.84E-06,0.742298031,0.617489238,0.921745212,12,89,74,62
458.4875,169,Gomoa West,637,29967,74772,206,60417,294.858638,135189,Central,25,0.452637756,4317,459,0.003271931,0.751197578,0.639201102,0.964886956,22,93,75,64
356.1636,178,Agona West,1073,4904,61199,211,54159,323.890482,115358,Central,34,0.56762594,3676,357,0,0.75660746,0.691177785,0.91556257,4,88,76,69
327.3094,225,Agona East,767,21549,44885,210,41035,262.503918,85920,Central,24,0.56762594,3703,328,0,0.759032781,0.698011701,0.928353261,25,89,76,70
1004.6006,187,Assin North,2810,38443,81087,214,80254,160.602134,161341,Central,52,0.564617465,3320,1005,0,0.72301822,0.577586183,0.934168246,24,90,72,58
1100.8965,205,Assin South,3903,24066,53308,213,50936,94.6901,104244,Central,68,1.296394889,4295,1102,0,0.707840316,0.636280585,0.875642629,23,84,71,64
772.4591,158,Asikuma / Odoben / Brakwa,2185,26685,58413,212,54293,145.90546,112706,Central,62,0.566637084,3607,773,0,0.728122141,0.629763453,0.861437208,24,83,73,63
85.1929,222,Effutu,539,7465,35802,207,32795,805.196208,68597,Central,9,0,3212,85,0.516539264,0.842327893,0.781431364,0.983158988,11,95,84,78
397.087,234,Bolgatanga Municipal,3200,36224,68767,904,62783,331.287602,131550,Upper East,24,2.255518913,1855,397,0,0.761420066,0.626477787,0.992480567,28,96,76,63
539.69,222,Gomoa East,1163,29415,108748,208,98323,383.685078,207071,Central,16,1.062872976,4071,540,0.000498193,0.797426581,0.71049732,0.976171318,14,94,80,71
376.6863,191,Abura / Asebu / Kwamankese,1131,31022,61910,203,55275,311.094404,117185,Central,27,1.696302772,3275,377,0.003199182,0.721389574,0.721854625,0.947748218,26,91,72,72
1495.4218,255,Jomoro,4814,44662,76546,101,73561,100.377699,150107,Western,145,0.555817466,3074,1494,0.117745319,0.691634412,0.428998608,0.839379774,30,81,69,43
995.8208,255,Ellembelle,4790,16957,45184,102,42317,87.868219,87501,Western,175,0.666230598,2791,995,0.000228785,0.758872146,0.444539697,0.88388778,19,85,76,44
1809.2113,198,Prestea / Huni Valley,2537,26950,78811,109,80493,88.051628,159304,Western,151,0.563707444,3433,1809,0.000128289,0.836956933,0.755144743,0.924118091,17,89,84,76
554.2309,255,Ahanta West,1018,19975,55216,104,50999,191.643952,106215,Western,35,0,2646,554,0.005192451,0.76911308,0.591648019,0.949829805,19,92,77,59
1083.9501,203,Nzema East,3418,19067,30881,103,29947,56.116974,60828,Western,184,0.665772817,3403,1083,0.000448987,0.740741789,0.491485321,0.925451549,31,89,74,49
905.2402,223,Tarkwa Nsuaem,2339,12535,43815,108,46662,99.948058,90477,Western,92,0.602936973,4047,905,2.29E-05,0.880991286,0.777215758,0.985340194,14,95,88,78
1120.0073,162,Sefwi Akontombra,2626,17531,38864,113,43603,73.63077,82467,Western,195,0.564824275,4594,1119,0,0.779045923,0.600742977,0.858779068,21,83,78,60
191.6652,,Sekondi Takoradi,785,68482,286112,105,273436,2919.403209,559548,Western,10,0.833321379,2990,192,0.038706683,0.897343329,0.81860891,0.986585869,12,95,90,82
414.7576,250,Bongo,4139,56622,44461,906,40084,203.841955,84545,Upper East,40,2.255518913,2520,415,0.005834507,0.541011464,0.429808097,0.951123277,67,92,54,43
611.8028,232,Akyem Mansa,1816,37433,49371,515,48003,159.159128,97374,Eastern,62,0.565407089,3393,612,0,0.758025504,0.584840924,0.892681876,38,86,76,58
795.7608,240,Kwahu South,1974,32714,36663,519,33094,87.660764,69757,Eastern,69,0.571163835,2590,797,1.403082624,0.759622353,0.731941993,0.783950501,47,76,76,73
525.1727,245,Birim Municipal,1483,32345,75565,502,69304,275.850211,144869,Eastern,28,0.567431966,3387,526,0,0.782520399,0.737547761,0.943218103,22,91,78,74
859.1112,243,Upper Manya,3704,31041,35592,511,36500,83.914632,72092,Eastern,80,0.565727275,2611,861,2.773064503,0.768662971,0.606786392,0.840174456,43,81,77,61
725.9941,242,Birim South,1994,32505,61786,501,57981,164.96966,119767,Eastern,38,0.566443977,3544,727,0,0.778827169,0.705273663,0.949492614,27,92,78,71
613.1448,230,Akwapem North,1055,25891,72455,506,64028,222.595054,136483,Eastern,24,0.575799594,3496,614,0,0.838102542,0.691135862,0.896226617,19,86,84,69
483.4166,246,Yilo Krobo,1502,13799,45469,508,42378,181.721108,87847,Eastern,28,0.734356568,3087,484,0,0.852768882,0.725998888,0.913150174,16,88,85,73
1165.2987,239,Atiwa,1979,29634,55951,517,54671,94.930167,110622,Eastern,78,0.566914609,3717,1167,0,0.809439401,0.689270404,0.935057535,27,90,81,69
159.7002,229,New Juaben Municipal,578,7936,95040,507,88687,1150.449405,183727,Eastern,10,0.565764308,2490,160,0,0.932973903,0.854564814,0.989500569,4,95,93,85
1098.757,240,Fanteakwa,2025,19257,54604,512,54010,98.851702,108614,Eastern,89,0.565647825,2779,1101,1.167715159,0.816872837,0.72617925,0.845013631,18,81,82,73
872.826,86,Kasena Nankana West,3634,9172,35920,902,34747,80.963445,70667,Upper East,74,3.259443819,2464,873,0.031932843,0.502402857,0.359348345,0.930250461,13,90,50,36
566.4806,224,Birim North,1264,11093,39335,516,39572,139.293384,78907,Eastern,66,0.566429625,2478,567,0.000179557,0.786176444,0.607311959,0.921713429,14,89,79,61
765.8766,231,Asuogyaman,2861,19100,51016,510,47030,128.018012,98046,Eastern,73,1.126963326,2455,768,4.613202207,0.803956911,0.646832162,0.860677895,19,83,80,65
623.3116,235,Kwahu East,1790,27970,39505,520,37620,123.734261,77125,Eastern,54,0.571968853,2934,624,9.45E-06,0.800078702,0.723511032,0.87498722,36,84,80,72
400.9004,231,Kwahu West,1390,16386,48709,518,44875,233.434539,93584,Eastern,30,0.569905481,3038,401,1.10E-05,0.837273223,0.755702177,0.965374776,18,93,84,76
833.7244,204,Sefwi Bibiani-Anhwiaso Bekwai,1230,13027,62417,115,60855,147.857014,123272,Western,137,0.564504802,3707,833,0,0.797900982,0.513226594,0.869337085,11,84,80,51
501.9369,145,Upper Denkyira East,2454,21878,37020,216,35790,145.058074,72810,Central,83,0.563709497,4493,502,0,0.763641385,0.578520917,0.86310253,30,83,76,58
849.6009,167,Amansie Central,2042,17727,45466,603,45275,106.804265,90741,Ashanti,68,0.572480142,3222,850,0,0.760665077,0.487148163,0.856021576,20,82,76,49
1230.9493,181,Amansie West,1032,12701,66846,602,67485,109.127971,134331,Ashanti,83,0.769040012,3680,1231,0,0.759123901,0.432889637,0.885636474,9,85,76,43
579.2135,213,Upper Denkyira West,972,1945,29861,217,30193,103.681976,60054,Central,97,0.567476451,3646,579,0,0.744434032,0.485094904,0.885381597,3,85,74,49
122.3809,,Cape Coast Metro,563,3580,87084,202,82810,1388.239505,169894,Central,7,1.696302772,3257,122,0.004973443,0.834964074,0.871564086,0.98842148,2,95,83,87
1492.0203,138,Wa West,2950,74297,41121,1001,40227,54.522046,81348,Upper West,59,2.252181133,3439,1490,5.01E-05,0.413706259,0.306580351,0.900546531,91,87,41,31
452.4771,252,Komenda Edna Eguafo / Abirem,901,25836,75040,201,69665,319.80624,144705,Central,23,1.437169147,4298,453,0.000444328,0.664933762,0.620357492,0.879700974,18,85,66,62
1011.5642,171,Sefwi-Wiawso,2498,25324,69447,114,69753,137.608666,139200,Western,135,0.581756341,3005,1011,0,0.823271118,0.56622728,0.876021274,18,84,82,57
923.6335,175,Asunafo South,2207,13140,46744,701,48836,103.482604,95580,Brong Ahafo,107,0.842571585,4667,923,0,0.773662241,0.442146052,0.80065184,14,77,77,44
922.6554,222,Nkoranza South,3890,36217,50858,716,50071,109.389703,100929,Brong Ahafo,66,1.133306805,3747,923,0,0.775521733,0.615374323,0.851750263,36,82,78,62
6169.1793,143,Bole,10433,47907,30571,801,31022,9.983986,61593,Northern,168,1.468068083,4446,6165,0.329247071,0.747573042,0.57146335,0.678248574,78,65,75,57
304.3499,249,Lower Manya,1519,12963,47776,509,41470,293.234859,89246,Eastern,36,0.948643368,4149,305,0.321221381,0.879893582,0.78457432,0.958361367,15,92,88,78
4887.8502,146,Kintampo North,11593,30082,48178,722,47302,19.53415,95480,Brong Ahafo,113,1.39996769,3515,4889,3.67E-05,0.715099244,0.599579184,0.633133924,32,61,72,60
2624.2883,176,Atebubu Amantin,4791,34703,52264,718,53674,40.368278,105938,Brong Ahafo,66,1.129014655,3393,2626,1.29E-05,0.733850436,0.463759758,0.855573558,33,82,73,46
1132.8708,129,Kpandai,3938,82712,53819,806,54997,96.053319,108816,Northern,84,2.005039813,5123,1135,0.097492993,0.467887937,0.240726889,0.869447657,76,84,47,24
1098.9331,152,Nkwanta North,6572,31854,32159,418,32394,58.741519,64553,Volta,64,1.689346396,3485,1102,0.026492837,0.24061859,0.201788219,0.654565858,49,63,24,20
,,Sissala West,,39790,25422,1007,24151,24.177622,,Upper West,,,,2049,2.85E-06,0.408012884,0.324202926,0.96265485,,93,41,32
,,Awutu Senya West,,28419,45981,209,40903,355.392593,,Central,,,,245,0,0.724673594,0.61930065,0.940369429,,91,72,62
