Cholera_Cases,District,Distance_From_Main_Road,ID,Region,Time_To_Access_UrbanCentre,Water_Scarcity,Distance_to_waterbody,percpoorpersons,percwatercoverage,perc_men_lit,perc_women_lit,District_C,flood_freq,DistCode,water_scarcity
242,Birim South,1994,501,Eastern,38,0.566443977,3544,27,92,78,71,Swedru,0 to 7 days of Flooding,501,Low
230,Akwapem North,1055,506,Eastern,24,0.575799594,3496,19,86,84,69,Akropong,0 to 7 days of Flooding,506,Low
246,Yilo Krobo,1502,508,Eastern,28,0.734356568,3087,16,88,85,73,Somanya,0 to 7 days of Flooding,508,Low
239,Atiwa,1979,517,Eastern,78,0.566914609,3717,27,90,81,69,Kwabeng,0 to 7 days of Flooding,517,Low
229,New Juaben Municipal,578,507,Eastern,10,0.565764308,2490,4,95,93,85,Koforidua,0 to 7 days of Flooding,507,Low
240,Fanteakwa,2025,512,Eastern,89,0.565647825,2779,18,81,82,73,Begoro,1 to 2 weeks of Flooding,512,Low
86,Kasena Nankana West,3634,902,Upper East,74,3.259443819,2464,13,90,50,36,Paga,0 to 7 days of Flooding,902,Severe
224,Birim North,1264,516,Eastern,66,0.566429625,2478,14,89,79,61,New Abirem,0 to 7 days of Flooding,516,Low
231,Asuogyaman,2861,510,Eastern,73,1.126963326,2455,19,83,80,65,Atimpoku,More than 1 month of Flooding,510,Moderate
235,Kwahu East,1790,520,Eastern,54,0.571968853,2934,36,84,80,72,Abetifi,0 to 7 days of Flooding,520,Low
231,Kwahu West,1390,518,Eastern,30,0.569905481,3038,18,93,84,76,Nkawkaw,0 to 7 days of Flooding,518,Low
204,Sefwi Bibiani-Anhwiaso Bekwai,1230,115,Western,137,0.564504802,3707,11,84,80,51,Bibiani,0 to 7 days of Flooding,115,Low
145,Upper Denkyira East,2454,216,Central,83,0.563709497,4493,30,83,76,58,Dunkwa,0 to 7 days of Flooding,216,Low
167,Amansie Central,2042,603,Ashanti,68,0.572480142,3222,20,82,76,49,Jacobu,0 to 7 days of Flooding,603,Low
181,Amansie West,1032,602,Ashanti,83,0.769040012,3680,9,85,76,43,Manso Nkwanta,0 to 7 days of Flooding,602,Low
213,Upper Denkyira West,972,217,Central,97,0.567476451,3646,3,85,74,49,Diaso,0 to 7 days of Flooding,217,Low
NA,Cape Coast Metro,563,202,Central,7,1.696302772,3257,2,95,83,87,Cape Coast,0 to 7 days of Flooding,202,Significant
138,Wa West,2950,1001,Upper West,59,2.252181133,3439,91,87,41,31,Wechiau,0 to 7 days of Flooding,1001,Severe
252,Komenda Edna Eguafo / Abirem,901,201,Central,23,1.437169147,4298,18,85,66,62,Elmina,0 to 7 days of Flooding,201,Moderate
171,Sefwi-Wiawso,2498,114,Western,135,0.581756341,3005,18,84,82,57,Sefwi Wiawso,0 to 7 days of Flooding,114,Low
175,Asunafo South,2207,701,Brong Ahafo,107,0.842571585,4667,14,77,77,44,Kukuom,0 to 7 days of Flooding,701,Low
222,Nkoranza South,3890,716,Brong Ahafo,66,1.133306805,3747,36,82,78,62,Nkoranza,0 to 7 days of Flooding,716,Moderate
143,Bole,10433,801,Northern,168,1.468068083,4446,78,65,75,57,Bole,0 to 7 days of Flooding,801,Moderate
